Titelname	Interpret	Album	Genre	Dauer	Titelnummer	Jahr
If Only	Rebekka Bakken	The Art Of How To Fall	Jazz	222	1	2003
If You Love Somebody	Silje Nergaard	Port Of Call	Jazz	245	4	2000
In My Garage	Esbjoern Svensson Trio	Seven Days Of Falling	Jazz	258	8	2003
In the Fall of Things	Esbjoern Svensson Trio	Winter in Venice	Jazz	348	10	1999
In The Tail Of Her Eye	Esbjoern Svensson Trio	Viaticum	Jazz	415	6	2005
In The Wee Small Hours Of The Morning	Ilg, D./Copland, M./Hirshfield, F.	What's Goin' On	Jazz	400	6	1995
In Walked Bud	Esbjoern Svensson Trio	Plays Monk	Jazz	400	6	1996
In Walked Bud	Thelonious Monk	Misterioso	Jazz	684	4	1958
Isn't It Romantic?	Chet Baker	My Funny Valentine	Jazz	210	13	1994
It's Always You	Chet Baker	My Funny Valentine	Jazz	216	8	1994
It Ain't Necessarily So	Herbie Hancock	Gershwin's World	Jazz	286	2	1998
It Ain't Necessarily So (Interlude)	Herbie Hancock	Gershwin's World	Jazz	85	8	1998
Jag vet en dejlig rosa	Viktoria Tolstoy	My Swedish Heart	Jazz	296	11	2005
John Cleese - Song For Basil Fawlty	Amsterdam Jazz Quintet	Portraits	Jazz	452	7	1997
The Juggler	Weather Report	Heavy Weather	Jazz	303	7	1977
Just A Gigolo	Thelonious Monk	Misterioso	Jazz	130	5	1958
Just One Of Those Things	Caecilie Norby	My Corner Of The Sky	Jazz	236	9	1996
Kathy's Waltz	Dave Brubeck Quartet	Time Out	Jazz	290	5	1959
La Vie En Rose	Madeleine Peyroux	Dreamland	Jazz	201	5	1996
Lament	Miles Davis	Miles Ahead	Jazz	134	9	1957
Last Letter From Lithuania	Esbjoern Svensson Trio	Good Morning Susie Soho	Jazz	250	5	2000
Let's Cool One	Thelonious Monk	Misterioso	Jazz	557	3	1958
Let's Face The Music And Dance	Diana Krall	When I Look In Your Eyes	Jazz	318	1	1999
Let's Fall In Love	Diana Krall	When I Look In Your Eyes	Jazz	259	3	1999
Let's Get Lost	Chet Baker	My Funny Valentine	Jazz	225	9	1994
Let It Flow	Tab Two	Belle Affaire	Jazz	242	2	1996
Letter From The Leviathan	Esbjoern Svensson Trio	Viaticum	Jazz	416	7	2005
Life On Mars	Caecilie Norby	My Corner Of The Sky	Jazz	220	6	1996
Like Someone In Love	Chet Baker	My Funny Valentine	Jazz	146	11	1994
A Little Duet For Zoot And Chet	Chet Baker	Chet Baker & Strings	Jazz	159	15	1953
Little Rootie Tootie	Esbjoern Svensson Trio	Plays Monk	Jazz	246	7	2000
The Look Of Love	Caecilie Norby	My Corner Of The Sky	Jazz	181	1	1996
Love	Chet Baker	Chet Baker & Strings	Jazz	154	6	1953
Love's The Melter	Tab Two	Belle Affaire	Jazz	232	12	1996
Love Is Real	Viktoria Tolstoy	Shining On You	Jazz	310	4	2004
Love Is Stronger Than Pride	Herbie Hancock	The New Standard	Jazz	480	6	1996
Love Me Or Leave Me	Nana Mouskouri	Nana Mouskouri in New York	Jazz	160	3	1962
Love Walked In	Chet Baker	Chet Baker & Strings	Jazz	179	3	1953
Lovesick Blues	Madeleine Peyroux	Dreamland	Jazz	138	12	1996
Lullaby	Herbie Hancock	Gershwin's World	Jazz	663	6	1998
M*A*S*H	Marc Copland & Dieter Ilg	Two Way Street	Jazz	385	2	1993
M.C. Escher - Magic Box	Amsterdam Jazz Quintet	Portraits	Jazz	451	9	1997
The Maids Of Cadiz	Miles Davis	Miles Ahead	Jazz	233	2	1957
The Man I Love	Herbie Hancock	Gershwin's World	Jazz	357	3	1998
Manhattan (Island Of Lights And Love)	Herbie Hancock	The New Standard	Jazz	246	10	1996
The Mask	Erik Truffaz	The Dawn	Jazz	303	7	1997
Mayday	Viktoria Tolstoy	My Swedish Heart	Jazz	227	9	2005
Me Oh My	Silje Nergaard	Port Of Call	Jazz	186	1	2000
The Meaning Of The Blues	Miles Davis	Miles Ahead	Jazz	168	8	1957
The Meaning Of The Blues/Lament (Alternate Take)	Miles Davis	Miles Ahead	Jazz	309	13	1957
